"Iso Number","Size","Quantity","Length","Long Description"
"","2""","1","3'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","2","3'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-0 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-2 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-8 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","8'-9 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","2","8'-10 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","6","9'-2 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","9'-3""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","54","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2""","1","9'-8 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-05","2""","1","3'-11 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-06","2""","1","1'-7 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-07","2""","1","1'-7 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-09","2""","1","2'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-10","2""","1","2'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-11","2""","1","2'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-12","2""","1","1'-7""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-13","2""","1","3'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-05","2""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-06","2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-07","2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-09","2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-10","2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-11","2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-12","2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-13","2""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2-1/2""","1","8 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2-1/2""","6","2'-1 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2-1/2""","3","7'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2-1/2""","1","8'-10 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2-1/2""","6","9'-3""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2-1/2""","1","9'-6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","2-1/2""","8","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-01","2-1/2""","1","1'-8 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-02","2-1/2""","1","1'-11 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-03","2-1/2""","1","1'-11 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-04","2-1/2""","1","1'-11 3/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-R-08","2-1/2""","1","1'-7 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-01","2-1/2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-02","2-1/2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-03","2-1/2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-04","2-1/2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL5-R-08","2-1/2""","1","9'-6 1/4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
